id	nr_urz	miasto	woj	powiat	gmina	rodzaj_urzedu	urzad	kod	adres	nazwa_bel_1	nazwa_bel_2	odes³anie_do_starostwa	skrot	nazwa_1	nazwa_2	nazwa_ca³a	konto_oplat_geodezyjnych	jaka nazwa
794	1590	Józefów nad Wis³¹	lubelskie	opolski	Józefów nad Wis³¹	10	Urz¹d Gminy	24-340	ul. Opolska 33F	Urz¹d Gminy	Józefów nad Wis³¹	1602	UMJózefów nad Wis³¹	Urz¹d Gminy Józefów nad Wis³¹		Urz¹d Gminy Józefów nad Wis³¹		
2473	1591	Turawa	opolskie	opolski	Turawa	10	Urz¹d Gminy	46-045	ul. Opolska 39c	Urz¹d Gminy	w Turawie	1593	UMTurawie	Urz¹d Gminy w Turawie		Urz¹d Gminy w Turawie		
273	1592	Chodel	lubelskie	opolski	Chodel	10	Urz¹d Gminy	24-350	ul. Partyzantów 24	Urz¹d Gminy	Chodel	1602	UMChodel	Urz¹d Gminy Chodel		Urz¹d Gminy Chodel		
1600	1593	Opole	opolskie	opolski	Opole	4	Starostwo Powiatowe	45-018	Pl. Wolnoœci 7-8			0	SPOpolu	Starostwo Powiatowe w Opolu 		Starostwo Powiatowe w Opolu	a45102036680000510201236249	
2471	1594	Tu³owice	opolskie	opolski	Tu³owice	10	Urz¹d Gminy	49-130	ul. Szkolna 1	Urz¹d Gminy	Tu³owice	1593	UMTu³owice	Urz¹d Gminy Tu³owice		Urz¹d Gminy Tu³owice		
1682	1595	Parczew	lubelskie	parczewski	Parczew	9	Urz¹d Miasta i Gminy	21-200	ul. Warszawska 24	Urz¹d Miejski	w Parczewie	1699	UMParczewie	Urz¹d Miejski w Parczewie		Urz¹d Miejski w Parczewie		
716	1596	Jab³oñ	lubelskie	parczewski	Jab³oñ	10	Urz¹d Gminy	21-205	ul. Zamojskiego 27	Urz¹d Gminy	Jab³oñ	1699	UMJab³oñ	Urz¹d Gminy Jab³oñ		Urz¹d Gminy Jab³oñ		
827	1597	Karczmiska Pierwsze	lubelskie	opolski	Karczmiska	10	Urz¹d Gminy	24-310	Centralna 17	Urz¹d Gminy	Karczmiska	1602	UMKarczmiska	Urz¹d Gminy Karczmiska		Urz¹d Gminy Karczmiska		
1240	1598	£aziska	lubelskie	opolski	£aziska	10	Urz¹d Gminy	24-335	£aziska 76	Urz¹d Gminy	£aziska	1602	UM£aziska	Urz¹d Gminy £aziska		Urz¹d Gminy £aziska		
1760	1599	Podedwórze	lubelskie	parczewski	Podedwórze	10	Urz¹d Gminy	21-222	Podedwórze 44	Urz¹d Gminy	Podedwórze	1699	UMPodedwórze	Urz¹d Gminy Podedwórze		Urz¹d Gminy Podedwórze		
2606	1600	Wilków	lubelskie	opolski	Wilków	10	Urz¹d Gminy	24-313	Wilków 62 a	Urz¹d Gminy	Wilków	1602	UMWilków	Urz¹d Gminy Wilków		Urz¹d Gminy Wilków		
403	1601	Dêbowa K³oda	lubelskie	parczewski	Dêbowa K³oda	10	Urz¹d Gminy	21-211	Dêbowa K³oda 116A	Urz¹d Gminy	Dêbowa K³oda	1699	UMDêbowa K³oda	Urz¹d Gminy Dêbowa K³oda		Urz¹d Gminy Dêbowa K³oda		
1602	1602	Opole Lubelskie	lubelskie	opolski	Opole Lubelskie	4	Starostwo Powiatowe	24-300	ul. Przemys³owa 4			0	SPOpolu Lubelskim	Starostwo Powiatowe w Opolu Lubelskim		Starostwo Powiatowe w Opolu Lubelskim	a02124054971111001041563103	
355	1603	Czerwin	mazowieckie	ostro³êcki	Czerwin	10	Urz¹d Gminy	07-407	Pl. Tysi¹clecia 1	Urz¹d Gminy	Czerwin	1606	UMCzerwin	Urz¹d Gminy Czerwin		Urz¹d Gminy Czerwin		
30	1604	Baranowo	mazowieckie	ostro³êcki	Baranowo	10	Urz¹d Gminy	06-320	Pl. Trzydziestolecia 7	Urz¹d Gminy	w Baranowie	1606	UMBaranowie	Urz¹d Gminy w Baranowie		Urz¹d Gminy w Baranowie		
1447	1605	Myszyniec	mazowieckie	ostro³êcki	Myszyniec	9	Urz¹d Miasta i Gminy	07-430	Pl. Wolnoœci 60	Urz¹d Miejski	w Myszñcu	1606	UMMyszñcu	Urz¹d Miejski w Myszñcu		Urz¹d Miejski w Myszñcu		
1628	1606	Ostro³êka	mazowieckie	ostro³êcki	Ostro³êka	4	Starostwo Powiatowe	07-410	Pl. Gen. Józefa Bema 1			0	SPOstro³êce	Starostwo Powiatowe w Ostro³êce		Starostwo Powiatowe w Ostro³êce	a09102015920000210202181394	
